OrderID,OrderDate,CustomerID,State,ProductID,ProductName,Quantity
US-2015-150630,9/17/2015,TB-21520,Pennsylvania,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7
US-2015-150630,9/17/2015,TB-21520,Pennsylvania,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",3
US-2015-150630,9/17/2015,TB-21520,Pennsylvania,OFF-EN-10001509,Poly String Tie Envelopes,2
US-2015-150630,9/17/2015,TB-21520,Pennsylvania,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6
US-2015-150630,9/17/2015,TB-21520,Pennsylvania,OFF-AR-10001683,Lumber Crayons,2
CA-2017-107727,10/19/2017,MA-17560,Texas,OFF-PA-10000249,Easy-staple paper,3
CA-2016-117590,12/8/2016,GH-14485,Texas,TEC-PH-10004977,GE 30524EE4,7
CA-2015-117415,12/27/2015,SN-20710,Texas,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",9
CA-2015-117415,12/27/2015,SN-20710,Texas,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3
CA-2015-117415,12/27/2015,SN-20710,Texas,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",3
CA-2015-117415,12/27/2015,SN-20710,Texas,TEC-PH-10000486,Plantronics HL10 Handset Lifter,4
CA-2017-120999,9/10/2017,LC-16930,Illinois,TEC-PH-10004093,Panasonic Kx-TS550,4
CA-2016-101343,7/17/2016,RA-19885,California,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",2
CA-2017-139619,9/19/2017,ES-14080,Florida,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2
CA-2016-118255,3/11/2016,ON-18715,Minnesota,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2
CA-2016-118255,3/11/2016,ON-18715,Minnesota,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,2
CA-2014-146703,10/20/2014,PO-18865,Michigan,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4
CA-2016-169194,6/20/2016,LH-16900,Delaware,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3
CA-2016-169194,6/20/2016,LH-16900,Delaware,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2
CA-2015-115742,4/18/2015,DP-13000,Indiana,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6
CA-2016-121755,1/16/2016,EH-13945,California,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,6
CA-2015-115742,4/18/2015,DP-13000,Indiana,FUR-FU-10001706,Longer-Life Soft White Bulbs,2
CA-2015-115742,4/18/2015,DP-13000,Indiana,FUR-CH-10003061,"Global Leather Task Chair, Black",1
CA-2016-105816,12/11/2016,JM-15265,New York,OFF-FA-10000304,Advantus Push Pins,7
CA-2016-105816,12/11/2016,JM-15265,New York,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,5
CA-2016-111682,6/17/2016,TB-21055,New York,OFF-ST-10000604,Home/Office Personal File Carts,6
CA-2016-111682,6/17/2016,TB-21055,New York,OFF-PA-10001569,Xerox 232,5
CA-2016-111682,6/17/2016,TB-21055,New York,FUR-CH-10003968,Novimex Turbo Task Chair,5
CA-2016-111682,6/17/2016,TB-21055,New York,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",2
CA-2016-111682,6/17/2016,TB-21055,New York,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2
CA-2016-111682,6/17/2016,TB-21055,New York,OFF-BI-10001460,Plastic Binding Combs,4
CA-2016-111682,6/17/2016,TB-21055,New York,OFF-AR-10001868,Prang Dustless Chalk Sticks,1
CA-2015-135545,11/24/2015,KM-16720,California,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2
CA-2015-135545,11/24/2015,KM-16720,California,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6
CA-2015-135545,11/24/2015,KM-16720,California,OFF-PA-10003892,Xerox 1943,3
CA-2015-135545,11/24/2015,KM-16720,California,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,4
US-2015-164175,4/30/2015,PS-18970,Illinois,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",5
CA-2014-106376,12/5/2014,BS-11590,Arizona,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8
CA-2014-106376,12/5/2014,BS-11590,Arizona,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,4
CA-2016-119823,6/4/2016,KD-16270,Virginia,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2
CA-2016-106075,9/18/2016,HM-14980,New York,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,1
CA-2017-114440,9/14/2017,TB-21520,Michigan,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3
US-2015-134026,4/26/2015,JE-15745,Tennessee,FUR-CH-10000513,High-Back Leather Manager's Chair,8
US-2015-134026,4/26/2015,JE-15745,Tennessee,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2
US-2015-134026,4/26/2015,JE-15745,Tennessee,OFF-ST-10004123,Safco Industrial Wire Shelving System,1
US-2017-118038,12/9/2017,KB-16600,Texas,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3
CA-2016-127208,6/12/2016,SC-20770,Alabama,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1
CA-2016-127208,6/12/2016,SC-20770,Alabama,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,3
CA-2014-139451,10/12/2014,DN-13690,California,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5
CA-2014-139451,10/12/2014,DN-13690,California,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",1
CA-2015-149734,9/3/2015,JC-16105,North Carolina,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,7
US-2017-119662,11/13/2017,CS-12400,Illinois,OFF-ST-10003656,Safco Industrial Wire Shelving,3
CA-2017-140088,5/28/2017,PO-18865,South Carolina,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,2
CA-2017-155558,10/26/2017,PG-18895,Minnesota,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1
CA-2017-155558,10/26/2017,PG-18895,Minnesota,OFF-LA-10000134,Avery 511,2
CA-2016-159695,4/5/2016,GM-14455,Texas,OFF-ST-10003442,Eldon Portable Mobile Manager,7
CA-2016-109806,9/17/2016,JS-15685,California,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,3
CA-2016-109806,9/17/2016,JS-15685,California,TEC-PH-10004093,Panasonic Kx-TS550,2
CA-2016-109806,9/17/2016,JS-15685,California,OFF-PA-10000304,Xerox 1995,1
CA-2015-149587,1/31/2015,KB-16315,Minnesota,OFF-PA-10003177,Xerox 1999,2
CA-2015-149587,1/31/2015,KB-16315,Minnesota,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",3
CA-2015-149587,1/31/2015,KB-16315,Minnesota,OFF-BI-10002852,Ibico Standard Transparent Covers,2
CA-2017-161018,11/9/2017,PN-18775,New York,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,7
CA-2017-157833,6/17/2017,KD-16345,California,OFF-BI-10001721,Trimflex Flexible Post Binders,3
CA-2016-149223,9/6/2016,ER-13855,Minnesota,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,6
CA-2016-158568,8/29/2016,RB-19465,Illinois,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,7
CA-2016-158568,8/29/2016,RB-19465,Illinois,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3
CA-2016-129903,12/1/2016,GZ-14470,Minnesota,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),4
US-2015-156867,11/13/2015,LC-16870,Colorado,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,6
US-2015-156867,11/13/2015,LC-16870,Colorado,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3
CA-2017-119004,11/23/2017,JM-15250,North Carolina,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,8
CA-2017-119004,11/23/2017,JM-15250,North Carolina,TEC-PH-10002844,Speck Products Candyshell Flip Case,1
CA-2017-119004,11/23/2017,JM-15250,North Carolina,OFF-AR-10000390,Newell Chalk Holder,1
CA-2015-129476,10/15/2015,PA-19060,Illinois,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,5
CA-2017-146780,12/25/2017,CV-12805,New York,FUR-FU-10001934,Magnifier Swing Arm Lamp,2
CA-2016-128867,11/3/2016,CL-12565,Iowa,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",2
CA-2016-128867,11/3/2016,CL-12565,Iowa,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",6
CA-2014-115259,8/25/2014,RC-19960,Ohio,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2
CA-2014-115259,8/25/2014,RC-19960,Ohio,OFF-PA-10004965,Xerox 1921,3
CA-2014-115259,8/25/2014,RC-19960,Ohio,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",6
CA-2015-110457,3/2/2015,DK-13090,Washington,FUR-TA-10001768,Hon Racetrack Conference Tables,3
CA-2016-103730,6/12/2016,SC-20725,Delaware,FUR-FU-10002157,Artistic Insta-Plaque,3
CA-2016-103730,6/12/2016,SC-20725,Delaware,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,4
CA-2016-103730,6/12/2016,SC-20725,Delaware,OFF-ST-10000777,"Companion Letter/Legal File, Black",6
CA-2016-103730,6/12/2016,SC-20725,Delaware,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,9
CA-2016-103730,6/12/2016,SC-20725,Delaware,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,7
US-2014-152030,12/26/2014,AD-10180,Texas,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,3
US-2014-134614,9/20/2014,PF-19165,Illinois,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,6
US-2017-107272,11/5/2017,TS-21610,Arizona,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",7
US-2016-125969,11/6/2016,LS-16975,California,FUR-CH-10001146,"Global Task Chair, Black",2
US-2016-125969,11/6/2016,LS-16975,California,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3
US-2017-164147,2/2/2017,DW-13585,Ohio,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,5
US-2017-164147,2/2/2017,DW-13585,Ohio,OFF-PA-10002377,Xerox 1916,2
US-2017-164147,2/2/2017,DW-13585,Ohio,OFF-FA-10002780,Staples,9
CA-2016-145583,10/13/2016,LC-16885,California,OFF-PA-10001804,Xerox 195,3
CA-2016-145583,10/13/2016,LC-16885,California,OFF-PA-10001736,Xerox 1880,1
CA-2016-145583,10/13/2016,LC-16885,California,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",4
CA-2016-145583,10/13/2016,LC-16885,California,OFF-FA-10002988,Ideal Clamps,2
CA-2016-145583,10/13/2016,LC-16885,California,OFF-BI-10004781,GBC Wire Binding Strips,3
CA-2016-145583,10/13/2016,LC-16885,California,OFF-SU-10001218,Fiskars Softgrip Scissors,6
CA-2016-110366,9/5/2016,JD-15895,Pennsylvania,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2
CA-2017-106180,9/18/2017,SH-19975,California,OFF-AR-10000940,Newell 343,3
CA-2017-106180,9/18/2017,SH-19975,California,OFF-EN-10004030,Convenience Packs of Business Envelopes,3
CA-2017-106180,9/18/2017,SH-19975,California,OFF-PA-10004327,Xerox 1911,3
CA-2017-155376,12/22/2017,SG-20080,Missouri,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3
CA-2015-110744,9/7/2015,HA-14920,California,OFF-ST-10003656,Safco Industrial Wire Shelving,7
CA-2014-110072,10/22/2014,MG-17680,Ohio,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",4
CA-2016-114489,12/5/2016,JE-16165,Wisconsin,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,3
CA-2016-114489,12/5/2016,JE-16165,Wisconsin,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",8
CA-2016-114489,12/5/2016,JE-16165,Wisconsin,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,5
CA-2016-158834,3/13/2016,TW-21025,Arizona,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5
CA-2016-158834,3/13/2016,TW-21025,Arizona,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,2
CA-2015-124919,5/31/2015,SP-20650,California,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,7
CA-2015-124919,5/31/2015,SP-20650,California,OFF-PA-10002254,Xerox 1883,4
CA-2015-124919,5/31/2015,SP-20650,California,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",6
CA-2015-118948,5/28/2015,NK-18490,Washington,OFF-AR-10001547,Newell 311,3
CA-2014-104269,3/1/2014,DB-13060,Washington,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,2
CA-2016-114104,11/20/2016,NP-18670,Oklahoma,OFF-LA-10002475,Avery 519,2
CA-2016-114104,11/20/2016,NP-18670,Oklahoma,TEC-PH-10004536,Avaya 5420 Digital phone,7
CA-2016-162733,5/11/2016,TT-21070,California,OFF-PA-10002751,Xerox 1920,1
CA-2015-119697,12/28/2015,EM-13960,Pennsylvania,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,2
CA-2016-154508,11/16/2016,RD-19900,New Mexico,OFF-EN-10001990,Staple envelope,5
CA-2016-113817,11/7/2016,MJ-17740,Washington,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,2
CA-2014-139892,9/8/2014,BM-11140,Texas,OFF-AR-10004441,BIC Brite Liner Highlighters,3
CA-2014-139892,9/8/2014,BM-11140,Texas,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,8
CA-2014-139892,9/8/2014,BM-11140,Texas,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,3
CA-2014-139892,9/8/2014,BM-11140,Texas,FUR-CH-10004287,SAFCO Arco Folding Chair,9
CA-2014-139892,9/8/2014,BM-11140,Texas,OFF-AR-10002656,Sanford Liquid Accent Highlighters,6
CA-2014-139892,9/8/2014,BM-11140,Texas,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,3
CA-2014-118962,8/5/2014,CS-12130,California,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3
CA-2014-118962,8/5/2014,CS-12130,California,OFF-PA-10001144,Xerox 1913,2
CA-2014-118962,8/5/2014,CS-12130,California,FUR-CH-10003817,"Global Value Steno Chair, Gray",7
US-2014-100853,9/14/2014,JB-15400,Illinois,OFF-LA-10003148,Avery 51,4
US-2015-101511,11/21/2015,JE-15745,Ohio,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",7
US-2015-101511,11/21/2015,JE-15745,Ohio,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,5
CA-2015-137225,12/15/2015,JK-15640,New York,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",1
CA-2014-166191,12/5/2014,DK-13150,Illinois,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",2
CA-2014-166191,12/5/2014,DK-13150,Illinois,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,7
CA-2014-158274,11/19/2014,RM-19675,Louisiana,TEC-PH-10003273,AT&T TR1909W,4
CA-2014-158274,11/19/2014,RM-19675,Louisiana,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),5
CA-2014-158274,11/19/2014,RM-19675,Louisiana,TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,2
CA-2016-105018,11/28/2016,SK-19990,Connecticut,OFF-BI-10001890,Avery Poly Binder Pockets,2
CA-2014-123260,8/26/2014,FM-14290,California,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,8
CA-2016-157000,7/16/2016,AM-10360,Texas,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",3
CA-2016-157000,7/16/2016,AM-10360,Texas,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,3
CA-2015-102281,10/12/2015,MP-17470,New York,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",4
CA-2015-102281,10/12/2015,MP-17470,New York,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,6
CA-2015-102281,10/12/2015,MP-17470,New York,OFF-PA-10000061,Xerox 205,8
CA-2015-102281,10/12/2015,MP-17470,New York,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3
CA-2015-102281,10/12/2015,MP-17470,New York,OFF-AR-10003514,4009 Highlighters by Sanford,5
CA-2015-131457,10/31/2015,MZ-17515,California,OFF-EN-10001509,Poly String Tie Envelopes,7
CA-2014-140004,3/21/2014,CB-12025,Ohio,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2
CA-2014-140004,3/21/2014,CB-12025,Ohio,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",3
CA-2017-107720,11/6/2017,VM-21685,New Jersey,OFF-ST-10001414,Decoflex Hanging Personal Folder File,3
US-2017-124303,7/6/2017,FH-14365,Pennsylvania,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",3
CA-2017-105074,6/24/2017,MB-17305,Ohio,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,3
CA-2014-133690,8/3/2014,BS-11755,Colorado,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,2
CA-2014-133690,8/3/2014,BS-11755,Colorado,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1
CA-2017-126382,6/3/2017,HK-14890,Tennessee,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",7
CA-2017-108329,12/9/2017,LE-16810,California,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,4
CA-2017-135860,12/1/2017,JH-15985,Michigan,OFF-ST-10000642,"Tennsco Lockers, Gray",4
CA-2017-135860,12/1/2017,JH-15985,Michigan,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,2
CA-2017-135860,12/1/2017,JH-15985,Michigan,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",4
CA-2017-135860,12/1/2017,JH-15985,Michigan,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",9
CA-2017-135860,12/1/2017,JH-15985,Michigan,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",1
CA-2015-101007,2/9/2015,MS-17980,Texas,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,2
CA-2015-146262,1/2/2015,VW-21775,Ohio,OFF-LA-10004544,Avery 505,2
CA-2015-146262,1/2/2015,VW-21775,Ohio,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,5
CA-2015-146262,1/2/2015,VW-21775,Ohio,TEC-PH-10002844,Speck Products Candyshell Flip Case,3
CA-2015-146262,1/2/2015,VW-21775,Ohio,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,2
CA-2016-130162,10/28/2016,JH-15910,California,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",6
CA-2016-130162,10/28/2016,JH-15910,California,TEC-PH-10002563,Adtran 1202752G1,3
CA-2015-169397,12/24/2015,JB-15925,Ohio,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,2
CA-2015-169397,12/24/2015,JB-15925,Ohio,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",6
CA-2015-169397,12/24/2015,JB-15925,Ohio,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",4
CA-2015-169397,12/24/2015,JB-15925,Ohio,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2
CA-2015-163055,8/9/2015,DS-13180,Michigan,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",1
CA-2015-163055,8/9/2015,DS-13180,Michigan,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,5
CA-2015-163055,8/9/2015,DS-13180,Michigan,OFF-ST-10002485,Rogers Deluxe File Chest,1
US-2015-145436,2/28/2015,VD-21670,Tennessee,FUR-CH-10004860,Global Low Back Tilter Chair,2
US-2015-145436,2/28/2015,VD-21670,Tennessee,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",8
US-2017-100930,4/7/2017,CS-12400,Florida,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,2
US-2017-100930,4/7/2017,CS-12400,Florida,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,3
US-2017-100930,4/7/2017,CS-12400,Florida,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",3
US-2017-100930,4/7/2017,CS-12400,Florida,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,3
CA-2017-160514,11/12/2017,DB-13120,California,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),2
CA-2016-157749,6/4/2016,KL-16645,Illinois,OFF-PA-10003349,Xerox 1957,5
CA-2016-157749,6/4/2016,KL-16645,Illinois,TEC-PH-10000011,PureGear Roll-On Screen Protector,2
CA-2016-157749,6/4/2016,KL-16645,Illinois,FUR-TA-10002607,KI Conference Tables,5
CA-2016-157749,6/4/2016,KL-16645,Illinois,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2
CA-2014-131926,6/1/2014,DW-13480,Minnesota,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,7
CA-2014-131926,6/1/2014,DW-13480,Minnesota,OFF-ST-10002276,Safco Steel Mobile File Cart,2
CA-2014-131926,6/1/2014,DW-13480,Minnesota,OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",6
CA-2014-131926,6/1/2014,DW-13480,Minnesota,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,5
CA-2014-131926,6/1/2014,DW-13480,Minnesota,OFF-PA-10000061,Xerox 205,4
CA-2016-154739,12/10/2016,LH-17155,California,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",2
CA-2016-145625,9/11/2016,KC-16540,California,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",1
CA-2016-146941,12/10/2016,DL-13315,New York,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",6
CA-2016-146941,12/10/2016,DL-13315,New York,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,4
US-2015-159982,11/28/2015,DR-12880,Illinois,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",2
US-2015-159982,11/28/2015,DR-12880,Illinois,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",5
